a	1	0.015440912627459126
i	1	0.0052475738476111455
y	1	0.0003315825063929421
m	1	0.0005808021949706305
n	1	0.0007446749512556136
o	1	0.00041900980021133147
s	1	0.0009608922088267563
ac	2	6.48954705314883e-05
ad	2	0.00013394137887222696
ae	2	2.1220464268640005e-05
al	2	0.00021387920898752408
an	2	0.0025815408240069623
ar	2	6.28216127338751e-05
as	2	0.0038213555280641335
ax	2	6.269833605607232e-06
by	2	0.005696158661744654
bk	2	1.2673815741902274e-05
bz	2	2.6660881259089136e-06
cy	2	5.445893724597191e-06
ck	2	7.331832038185653e-06
dy	2	4.670754758453187e-06
dl	2	1.654652310851235e-05
eb	2	7.958272826294763e-06
ed	2	8.805781197641068e-05
ee	2	3.020413611660446e-05
eh	2	1.1336152756776688e-05
ey	2	2.189880905755747e-06
el	2	0.00010096118466455991
en	2	0.00015779591592145645
er	2	2.926693444886028e-05
es	2	5.299811490519699e-05
et	2	0.00017726027669265573
eu	2	6.006671343813646e-05
ex	2	7.185531142819294e-05
ez	2	1.086719910628376e-05
fg	2	1.2786137251087861e-05
fy	2	1.9049722176783845e-05
fn	2	6.35483775657402e-06
fu	2	1.0277027866796908e-05
fz	2	1.8704177829136706e-06
gy	2	2.521193566094824e-06
gk	2	3.635089198197344e-06
gl	2	1.1069323072479546e-05
gv	2	2.8217015097122542e-06
hy	2	3.759117417910531e-06
ia	2	3.695696292373242e-05
ic	2	2.0473003128780426e-05
id	2	0.00020399486516956054
yd	2	4.095755483822948e-06
ie	2	0.00010104284598431431
ye	2	1.695632258917881e-05
ii	2	0.00022631739593665883
iy	2	1.2728773519342085e-06
yi	2	4.018161332054313e-06
ij	2	7.98504608177299e-06
ik	2	4.867116336562112e-06
il	2	9.246328264241417e-05
yl	2	1.7845974778360263e-06
ym	2	2.178589073567832e-06
in	2	0.014400707674149294
yn	2	1.4777922251249113e-05
yo	2	1.6650921121538366e-05
yr	2	2.0703583668308084e-05
is	2	0.008001275333472512
ys	2	2.475364812449157e-06
iz	2	2.837232242313431e-06
je	2	1.61430692260578e-05
jg	2	4.608489001079079e-06
ji	2	5.24107304919345e-06
jy	2	1.8123773233843107e-06
jl	2	8.352250819458055e-06
jr	2	2.9098719985649528e-05
js	2	1.0017315726474862e-05
jt	2	6.547832698975661e-06
ju	2	4.139732587829609e-06
ka	2	1.1484427554866576e-05
kj	2	4.292554044445394e-06
kl	2	5.5242598221290115e-06
km	2	6.5641188842257e-05
ku	2	7.357202528785846e-06
le	2	8.582329764271746e-05
ly	2	5.071778882106874e-06
ln	2	1.332834243335124e-05
lx	2	6.832775903570628e-06
mk	2	8.299659888939727e-06
mo	2	6.266304759270416e-05
no	2	0.0015933918172967537
nr	2	2.749069234873415e-05
oy	2	2.6148897583422353e-06
ol	2	1.002525112488188e-05
on	2	0.006376923565241907
or	2	0.004405089635955221
ot	2	2.0802372322143028e-05
ox	2	3.840552594963385e-06
oz	2	5.040503006418314e-05
qh	2	1.334573501751781e-06
qy	2	6.01707917908024e-07
ql	2	1.993541431820658e-06
qq	2	3.398902700120742e-06
qt	2	8.872661286319432e-06
qu	2	2.4878553709873927e-06
rg	2	9.189932695309645e-06
ry	2	3.774978012798179e-06
sh	2	2.1242265785326264e-05
sy	2	4.8788332490160974e-06
sk	2	1.2570091056017711e-05
sq	2	1.2533418531303219e-05
st	2	0.00017230875301782038
th	2	7.967220255799243e-05
ty	2	9.373856424833327e-06
tk	2	6.793253640752393e-06
to	2	0.020636764209678228
ud	2	3.7056134149806828e-06
um	2	1.696470857266786e-05
ux	2	4.907789716740867e-06
we	2	0.002364571742272109
wk	2	7.817300907175978e-06
wt	2	9.90567774635712e-06
xc	2	4.7184895720119166e-06
xe	2	3.0028588168643444e-06
xi	2	1.2904705739863629e-05
xr	2	7.867417870545772e-06
xs	2	6.4885357021797945e-06
xu	2	3.2377122632265475e-06
xw	2	1.3038861071835696e-06
xx	2	2.370270517947313e-05
zl	2	7.357612306162338e-07
zn	2	2.504909591262169e-06
zo	2	1.4142352439345859e-06
zr	2	1.8886809314651532e-06
zs	2	1.7462161304519266e-06
aah	3	5.778337098444017e-07
aal	3	5.291620193792507e-07
aar	3	1.0700392508914234e-06
abb	3	2.1694634504158156e-06
abd	3	1.7043763300230717e-06
abe	3	4.116280059389929e-06
aby	3	5.302791303184858e-07
abl	3	9.045044936779812e-07
abn	3	4.950797637740885e-06
abo	3	9.137304357727903e-07
abp	3	1.3312408724657827e-06
abr	3	1.5650622239419647e-06
abt	3	6.908052517728643e-06
abu	3	9.392609265851323e-06
abv	3	4.389123779291446e-07
acy	3	2.518906634263361e-07
ade	3	1.4720869678258102e-06
ady	3	2.92518134936356e-07
adj	3	4.804053128608855e-06
ado	3	2.68219016638769e-06
adv	3	7.652204832797122e-06
adz	3	1.2757338913222071e-07
aeq	3	6.993250505296759e-08
aer	3	1.2785598249310483e-06
afd	3	5.696194587828421e-07
aff	3	3.1290651478608804e-06
afg	3	3.122333576767377e-07
afr	3	2.546939827650224e-06
aga	3	2.01822499271088e-06
age	3	0.0002256764174034501
agh	3	2.3573081203137382e-07
agy	3	2.3179796940968317e-07
ago	3	0.00016805923239919098
agt	3	7.686352380731152e-07
ahi	3	4.60423139713411e-07
aho	3	3.974959574452966e-07
ahs	3	8.42425771620945e-07
aht	3	2.1637945799874904e-07
ahu	3	2.1202833639524437e-07
aye	3	1.2653602325090057e-05
aik	3	1.5576131173593333e-07
ail	3	7.22714667089977e-07
aym	3	3.594478729897967e-08
ain	3	1.8649767555079595e-06
